Target,AUC
NR-AR,0.7986006617937835
NR-AR-LBD,0.8692061405489818
NR-AhR,0.8936790826447514
NR-Aromatase,0.8584160634122092
NR-ER,0.7269844702766904
NR-ER-LBD,0.8366022337808351
NR-PPAR-gamma,0.875325097990307
SR-ARE,0.8302316470991358
SR-ATAD5,0.8706549863866918
SR-HSE,0.8141149638807843
SR-MMP,0.9054717497806551
SR-p53,0.8729054897289966
